FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"CORPUS CHRISTI, TX (5312)",Air,Travelers,Air,37
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,DALLAS LOVE FIELD (DAL) (5588),Air,Conveyances,Air,206
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,DALLAS LOVE FIELD (DAL) (5588),Air,Travelers,Air,1362
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"DALLAS/FT. WORTH, TX (5501)",Air,Conveyances,Air,2609
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"DALLAS/FT. WORTH, TX (5501)",Air,Travelers,Air,372490
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Conveyances,Air,9
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,FORT WORTH ALLIANCE  AP (5583),Air,Travelers,Air,126
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Conveyances,Air,651
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"HOBBY AIRPORT, TX (5314)",Air,Travelers,Air,42621
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Conveyances,Air,2964
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,HOUSTON INTERCONTL (5309),Air,Travelers,Air,382394
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"LUBBOCK, TX (5503)",Air,Conveyances,Air,1
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"LUBBOCK, TX (5503)",Air,Travelers,Air,4
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Conveyances,Air,18
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,MEACHAM INTL ARPRT (FTW) (5589),Air,Travelers,Air,124
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Conveyances,Air,17
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,MIDLAND INTER AIRPORT (5582),Air,Travelers,Air,165
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"PORT ARTHUR, TX (2101)",Air,Conveyances,Air,1
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"PORT ARTHUR, TX (2101)",Air,Travelers,Air,8
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Conveyances,Air,270
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO, TX (5507)",Air,Travelers,Air,23820
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Conveyances,Air,311
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,"SAN ANTONIO,TX(INACTIVE) (2308)",Air,Travelers,Air,1548
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,SUGAR LAND REGIONAL AIRP (5381),Air,Conveyances,Air,45
2022,FYTD,APR,Coastal/Interior,HOUSTON,TX,SUGAR LAND REGIONAL AIRP (5381),Air,Travelers,Air,215
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,JOHN WAYNE AIRPORT (2787),Air,Conveyances,Air,60
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,JOHN WAYNE AIRPORT (2787),Air,Travelers,Air,8241
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Conveyances,Air,3999
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Travelers,Air,616036
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Conveyances,Air,57
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,ONTARIO INTL AIRPORT (2721),Air,Travelers,Air,7788
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,PALM SPRINGS USER FEE (2781),Air,Conveyances,Air,115
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,PALM SPRINGS USER FEE (2781),Air,Travelers,Air,650
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Conveyances,Air,22
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,164
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,SO. CALIF. LOGISTICS APT (2783),Air,Conveyances,Air,2
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,SO. CALIF. LOGISTICS APT (2783),Air,Travelers,Air,11
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Conveyances,Air,15
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Travelers,Air,43
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Conveyances,Air,114
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,CA,VAN NUYS AIRPORT (2788),Air,Travelers,Air,911
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Conveyances,Air,450
2022,FYTD,APR,Coastal/Interior,LOS ANGELES,NV,"LAS VEGAS, NV (2722)",Air,Travelers,Air,57311
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"FORT PIERCE, FL (5205)",Air,Conveyances,Air,604
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"FORT PIERCE, FL (5205)",Air,Travelers,Air,2290
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,FT LAUDERDALE INTL AIRPT (5210),Air,Conveyances,Air,3759
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,FT LAUDERDALE INTL AIRPT (5210),Air,Travelers,Air,226223
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Conveyances,Air,46
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"KEY WEST, FL (5202)",Air,Travelers,Air,178
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,MARATHON INTL ARPT (5281),Air,Conveyances,Air,21
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,MARATHON INTL ARPT (5281),Air,Travelers,Air,66
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,MIAMI INTL AIRPORT (5206),Air,Conveyances,Air,9526
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,MIAMI INTL AIRPORT (5206),Air,Travelers,Air,893898
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"WEST PALM BEACH, FL (5204)",Air,Conveyances,Air,1090
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,"WEST PALM BEACH, FL (5204)",Air,Travelers,Air,6126
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,WITHAM FIELD GAF (SUA) (5283),Air,Conveyances,Air,151
2022,FYTD,APR,Coastal/Interior,MIAMI,FL,WITHAM FIELD GAF (SUA) (5283),Air,Travelers,Air,600
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Conveyances,Air,31
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"BIRMINGHAM, AL (1904)",Air,Travelers,Air,217
2022,FYTD,APR,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Conveyances,Air,2
